channel_code,customer_id,day_since_last_trx,count_trx,net_sales,count_site_activity,count_email_received,count_email_opened,count_content_clicked,count_product_viewed,count_email_opened_clicked,count_coupon_received,count_campaign_spam_marked,count_campaign_unsubscribed,count_chat_delivered,count_soft_bounced,count_hard_bounced
PlanetSports.Asia,1080f5db41ee5d46580b933501d0f58437320d060d17b9348d61e7e71c2d5c8e,342,1,"Rp58,108",0,23,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,bc6c88cc3554b9a51e7998c0152959aa2299ff6941846378d287fb88b9bffc1e,340,1,"Rp58,108",0,24,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,4cc8448febd1f35ca274b0089c8ef8d3fa659ae7ee33f322ac4e7f99a6b6605c,343,1,"Rp58,108",1,25,3,0,0,3,0,0,0,0,0,0
PlanetSports.Asia,5025760c8d7840024d05e869ce0e61fd339b8c967f5c880e8c2d72b214be2a6a,224,1,"Rp62,432",0,19,5,0,0,5,0,0,0,0,0,0
PlanetSports.Asia,d22dda5907cb428e8dd3188e01d2f2110c2304afe2157d6a27f419eca6b4f459,346,1,"Rp62,432",0,33,31,0,0,31,0,0,0,0,0,0
PlanetSports.Asia,51baa37580b7cd99411e8030d0faabbada7c1187a8869303d9ae4ea9e2252bf9,215,1,"Rp62,432",0,22,2,0,0,2,0,0,0,0,0,0
PlanetSports.Asia,6e686c6964e58cfd6fbd8cc5eacf4f1a7954bc88fce1e811879f7e462a8ced50,2,1,"Rp62,432",0,0,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,5a1075718996e481855c829442785b08f804bb9a0ea6e545feb65fe44e752414,289,1,"Rp62,432",1,25,1,2,1,1,0,0,0,0,0,0
PlanetSports.Asia,7fe24bb5b2bf7713aa9961c7a6f92d774c6045261ea6c82fadf837ffe767fa2b,244,1,"Rp62,432",0,16,10,0,0,10,0,0,0,0,0,0
PlanetSports.Asia,0eac0f03bc67049f32951f9c51771d4488ded5591bd36709b06217e64a408a86,82,1,"Rp62,613",0,8,0,0,0,0,0,0,0,0,0,0
